State,Month,Year,Severity 1,Severity 2,Severity 3,Severity 4,Total
DC,1,2023,0,45,0,1,46
DC,9,2022,0,45,0,1,46
DC,10,2022,0,20,0,2,22
DC,11,2022,0,37,0,7,44
DC,12,2022,0,42,1,10,53
DE,1,2023,0,10,0,0,10
DE,8,2022,0,13,0,1,14
DE,9,2022,0,13,0,1,14
DE,10,2022,0,15,0,1,16
DE,12,2022,0,11,0,2,13
FL,1,2023,0,1214,19,13,1246
GA,1,2023,0,250,10,9,269
IA,1,2023,0,27,1,1,29
IA,9,2022,0,15,0,1,16
IA,10,2022,0,3,0,2,5
IA,11,2022,0,17,0,4,21
IA,12,2022,0,25,2,3,30
ID,1,2023,0,7,1,0,8
ID,8,2022,0,12,1,0,13
ID,9,2022,0,7,0,0,7
ID,10,2022,0,8,1,1,10
ID,11,2022,0,7,0,4,11
ID,12,2022,0,10,0,2,12
IL,1,2023,0,104,2,4,110
IL,10,2022,0,63,1,10,74
IL,12,2022,0,119,4,23,146
IN,1,2023,0,46,1,1,48
IN,10,2022,0,30,0,4,34
IN,11,2022,0,55,0,14,69
IN,12,2022,0,64,2,22,88
KS,1,2023,0,26,1,1,28
KS,8,2022,0,27,0,1,28
KS,9,2022,0,33,0,4,37
KS,10,2022,0,18,0,1,19
KS,12,2022,0,39,0,4,43
KY,1,2023,0,4,0,0,4
KY,10,2022,0,4,0,0,4
KY,11,2022,0,5,1,0,6
KY,12,2022,0,4,0,1,5
LA,1,2023,0,190,2,2,194
LA,10,2022,0,90,2,5,97
LA,11,2022,0,119,1,7,127
MA,1,2023,0,2,0,0,2
MA,10,2022,0,2,0,0,2
MA,11,2022,0,5,0,1,6
MA,12,2022,0,5,0,1,6
MD,1,2023,0,140,2,6,148
ME,8,2022,0,1,0,0,1
MI,1,2023,0,145,4,13,162
MI,10,2022,0,73,0,6,79
MI,11,2022,0,121,1,25,147
MI,12,2022,0,138,3,29,170
MN,1,2023,0,400,9,25,434
MN,10,2022,0,50,2,16,68
MN,11,2022,0,134,1,32,167
MO,1,2023,0,101,3,3,107
MO,12,2022,0,82,0,19,101
MS,1,2023,0,17,0,2,19
MS,8,2022,0,20,0,0,20
MS,10,2022,0,6,0,0,6
MS,11,2022,0,14,1,0,15
MS,12,2022,0,12,2,0,14
MT,1,2023,0,87,3,8,98
MT,8,2022,0,42,1,1,44
MT,9,2022,0,29,2,0,31
MT,10,2022,0,16,0,1,17
NC,1,2023,0,388,3,12,403
ND,1,2023,0,13,1,1,15
ND,8,2022,0,3,0,1,4
ND,9,2022,0,2,0,0,2
ND,10,2022,0,2,0,1,3
ND,11,2022,0,2,0,2,4
ND,12,2022,0,7,0,6,13
NE,1,2023,0,3,0,0,3
NE,9,2022,0,5,0,0,5
NE,10,2022,0,3,1,2,6
NE,11,2022,0,7,1,1,9
NE,12,2022,0,6,0,0,6
NH,8,2022,0,1,0,0,1
NJ,1,2023,0,100,2,9,111
NM,1,2023,0,3,0,1,4
NM,9,2022,0,3,0,0,3
NM,11,2022,0,4,0,0,4
NM,12,2022,0,3,0,3,6
NV,1,2023,0,30,3,1,34
NV,10,2022,0,7,0,0,7
NV,11,2022,0,20,0,2,22
NY,1,2023,0,318,7,15,340
OH,1,2023,0,320,2,16,338
OH,10,2022,0,67,0,9,76
OK,1,2023,0,36,0,0,36
OK,10,2022,0,22,0,2,24
OK,11,2022,0,23,0,0,23
OK,12,2022,0,44,0,3,47
OR,1,2023,0,156,6,3,165
OR,10,2022,0,80,0,2,82
PA,1,2023,0,337,6,24,367
RI,1,2023,0,1,0,0,1
RI,10,2022,0,1,0,0,1
RI,11,2022,0,1,0,2,3
RI,12,2022,0,5,1,2,8
TN,1,2023,0,137,1,4,142
TX,1,2023,0,534,8,22,564
UT,1,2023,0,97,1,4,102
UT,10,2022,0,33,0,4,37
VA,1,2023,0,536,6,16,558
WA,1,2023,0,63,0,2,65
WI,1,2023,0,62,1,2,65
WI,9,2022,0,57,2,2,61
WI,10,2022,0,27,0,6,33
WI,11,2022,0,43,0,10,53
WI,12,2022,0,67,0,12,79
WV,1,2023,0,25,1,3,29
WV,10,2022,0,18,0,2,20
WV,12,2022,0,38,1,1,40
WY,1,2023,0,22,3,0,25
WY,8,2022,0,6,0,1,7
WY,9,2022,0,3,0,0,3
WY,10,2022,0,2,0,0,2
WY,12,2022,0,7,0,13,20
ME,9,2022,0,0,1,0,1
SD,8,2022,0,0,1,0,1
